# Electron neutrino-oxygen scattering cross section 5MeV-60MeV (10^-38 cm^2/GeV) #
# log(energy in GeV)       nu_e       nu_mu       nu_tau       nu_e_bar       nu_mu_bar       nu_tau_bar #

       -3.00000 0.00000e+00          0          0          0          0          0
       -2.69897 3.25690e-05          0          0          0          0          0
       -2.52288 2.60530e-04          0          0          0          0          0
       -2.39794 6.68920e-04          0          0          0          0          0
       -2.30103 1.25510e-03          0          0          0          0          0
       -2.22185 2.01500e-03          0          0          0          0          0
       -2.15490 2.94440e-03          0          0          0          0          0
       -2.09691 4.03940e-03          0          0          0          0          0
       -2.04576 5.29590e-03          0          0          0          0          0
       -2.00000 6.71000e-03          0          0          0          0          0
       -1.95861 8.27790e-03          0          0          0          0          0
       -1.92082 9.99590e-03          0          0          0          0          0
       -1.88606 1.18600e-02          0          0          0          0          0
       -1.85387 1.38670e-02          0          0          0          0          0
       -1.82391 1.60130e-02          0          0          0          0          0
       -1.79588 1.82950e-02          0          0          0          0          0
       -1.76955 2.07090e-02          0          0          0          0          0
       -1.74473 2.32520e-02          0          0          0          0          0
       -1.72125 2.59200e-02          0          0          0          0          0
       -1.69897 2.87100e-02          0          0          0          0          0
       -1.67778 3.16190e-02          0          0          0          0          0
       -1.65758 3.46440e-02          0          0          0          0          0
       -1.63827 3.77820e-02          0          0          0          0          0
       -1.61979 4.10300e-02          0          0          0          0          0
       -1.60206 4.43840e-02          0          0          0          0          0
       -1.58503 4.78420e-02          0          0          0          0          0
       -1.56864 5.14020e-02          0          0          0          0          0
       -1.55284 5.50590e-02          0          0          0          0          0
       -1.53760 5.88110e-02          0          0          0          0          0
       -1.52288 6.26570e-02          0          0          0          0          0
       -1.50864 6.65920e-02          0          0          0          0          0
       -1.49485 7.06150e-02          0          0          0          0          0
       -1.48149 7.47230e-02          0          0          0          0          0
       -1.46852 7.89130e-02          0          0          0          0          0
       -1.45593 8.31830e-02          0          0          0          0          0
       -1.44370 8.75300e-02          0          0          0          0          0
       -1.43180 9.19530e-02          0          0          0          0          0
       -1.42022 9.64490e-02          0          0          0          0          0
       -1.40894 1.01010e-01          0          0          0          0          0
       -1.39794 1.05650e-01          0          0          0          0          0
       -1.38722 1.10350e-01          0          0          0          0          0
       -1.37675 1.15110e-01          0          0          0          0          0
       -1.36653 1.19940e-01          0          0          0          0          0
       -1.35655 1.24830e-01          0          0          0          0          0
       -1.34679 1.29770e-01          0          0          0          0          0
       -1.33724 1.34770e-01          0          0          0          0          0
       -1.32790 1.39830e-01          0          0          0          0          0
       -1.31876 1.44940e-01          0          0          0          0          0
       -1.30980 1.50090e-01          0          0          0          0          0
       -1.30103 1.55300e-01          0          0          0          0          0
       -1.29243 1.60550e-01          0          0          0          0          0
       -1.28400 1.65850e-01          0          0          0          0          0
       -1.27572 1.71200e-01          0          0          0          0          0
       -1.26761 1.76580e-01          0          0          0          0          0
       -1.25964 1.82000e-01          0          0          0          0          0
       -1.25181 1.87470e-01          0          0          0          0          0
       -1.24413 1.92970e-01          0          0          0          0          0
       -1.23657 1.98500e-01          0          0          0          0          0
       -1.22915 2.04070e-01          0          0          0          0          0
       -1.22185 2.09680e-01          0          0          0          0          0
       -1.21467 2.15310e-01          0          0          0          0          0
       -1.20761 2.20980e-01          0          0          0          0          0
       -1.20066 2.26670e-01          0          0          0          0          0
       -1.19382 2.32390e-01          0          0          0          0          0
       -1.18709 2.38140e-01          0          0          0          0          0
       -1.18046 2.43910e-01          0          0          0          0          0
       -1.17393 2.49710e-01          0          0          0          0          0
       -1.16749 2.55530e-01          0          0          0          0          0
       -1.16115 2.61370e-01          0          0          0          0          0
       -1.15490 2.67230e-01          0          0          0          0          0
       -1.14874 2.73110e-01          0          0          0          0          0
       -1.14267 2.79010e-01          0          0          0          0          0
       -1.13668 2.84920e-01          0          0          0          0          0
       -1.13077 2.90850e-01          0          0          0          0          0
       -1.12494 2.96800e-01          0          0          0          0          0
       -1.11919 3.02760e-01          0          0          0          0          0
       -1.11351 3.08740e-01          0          0          0          0          0
       -1.10791 3.14730e-01          0          0          0          0          0
       -1.10237 3.20730e-01          0          0          0          0          0
       -1.09691 3.26740e-01          0          0          0          0          0
       -1.09151 3.32760e-01          0          0          0          0          0
       -1.08619 3.38790e-01          0          0          0          0          0
       -1.08092 3.44820e-01          0          0          0          0          0
       -1.07572 3.50870e-01          0          0          0          0          0
       -1.07058 3.56920e-01          0          0          0          0          0
       -1.06550 3.62980e-01          0          0          0          0          0
       -1.06048 3.69040e-01          0          0          0          0          0
       -1.05552 3.75110e-01          0          0          0          0          0
       -1.05061 3.81180e-01          0          0          0          0          0
       -1.04576 3.87260e-01          0          0          0          0          0
       -1.04096 3.93340e-01          0          0          0          0          0
       -1.03621 3.99420e-01          0          0          0          0          0
       -1.03152 4.05500e-01          0          0          0          0          0
       -1.02687 4.11590e-01          0          0          0          0          0
       -1.02228 4.17670e-01          0          0          0          0          0
       -1.01773 4.23760e-01          0          0          0          0          0
       -1.01323 4.29840e-01          0          0          0          0          0
       -1.00877 4.35930e-01          0          0          0          0          0
       -1.00436 4.42010e-01          0          0          0          0          0
       -1.00000 4.48090e-01          0          0          0          0          0
       -0.99568 4.54170e-01          0          0          0          0          0
       -0.99140 4.60240e-01          0          0          0          0          0
       -0.98716 4.66310e-01          0          0          0          0          0
       -0.98297 4.72380e-01          0          0          0          0          0
       -0.97881 4.78450e-01          0          0          0          0          0
       -0.97469 4.84510e-01          0          0          0          0          0
       -0.97062 4.90560e-01          0          0          0          0          0
       -0.96658 4.96610e-01          0          0          0          0          0
       -0.96257 5.02660e-01          0          0          0          0          0
       -0.95861 5.08700e-01          0          0          0          0          0
       -0.95468 5.14730e-01          0          0          0          0          0
       -0.95078 5.20760e-01          0          0          0          0          0
       -0.94692 5.26780e-01          0          0          0          0          0
       -0.94310 5.32800e-01          0          0          0          0          0
       -0.93930 5.38800e-01          0          0          0          0          0
       -0.93554 5.44800e-01          0          0          0          0          0
       -0.93181 5.50790e-01          0          0          0          0          0
       -0.92812 5.56780e-01          0          0          0          0          0
       -0.92445 5.62750e-01          0          0          0          0          0
       -0.92082 5.68720e-01          0          0          0          0          0
       -0.91721 5.74680e-01          0          0          0          0          0
       -0.91364 5.80630e-01          0          0          0          0          0
       -0.91009 5.86570e-01          0          0          0          0          0
       -0.90658 5.92510e-01          0          0          0          0          0
       -0.90309 5.98430e-01          0          0          0          0          0
       -0.89963 6.04340e-01          0          0          0          0          0
       -0.89620 6.10250e-01          0          0          0          0          0
       -0.89279 6.16140e-01          0          0          0          0          0
       -0.88941 6.22030e-01          0          0          0          0          0
       -0.88606 6.27910e-01          0          0          0          0          0
       -0.88273 6.33770e-01          0          0          0          0          0
       -0.87943 6.39630e-01          0          0          0          0          0
       -0.87615 6.45470e-01          0          0          0          0          0
       -0.87290 6.51310e-01          0          0          0          0          0
       -0.86967 6.57130e-01          0          0          0          0          0
       -0.86646 6.62950e-01          0          0          0          0          0
       -0.86328 6.68750e-01          0          0          0          0          0
       -0.86012 6.74540e-01          0          0          0          0          0
       -0.85699 6.80320e-01          0          0          0          0          0
       -0.85387 6.86100e-01          0          0          0          0          0
       -0.85078 6.91860e-01          0          0          0          0          0
       -0.84771 6.97610e-01          0          0          0          0          0
       -0.84466 7.03350e-01          0          0          0          0          0
       -0.84164 7.09070e-01          0          0          0          0          0
       -0.83863 7.14790e-01          0          0          0          0          0
       -0.83565 7.20500e-01          0          0          0          0          0
       -0.83268 7.26190e-01          0          0          0          0          0
       -0.82974 7.31870e-01          0          0          0          0          0
       -0.82681 7.37550e-01          0          0          0          0          0
       -0.82391 7.43210e-01          0          0          0          0          0
       -0.82102 7.48860e-01          0          0          0          0          0
       -0.81816 7.54500e-01          0          0          0          0          0
       -0.81531 7.60130e-01          0          0          0          0          0
       -0.81248 7.65750e-01          0          0          0          0          0
       -0.80967 7.71350e-01          0          0          0          0          0
       -0.80688 7.76950e-01          0          0          0          0          0
       -0.80410 7.82530e-01          0          0          0          0          0
       -0.80134 7.88110e-01          0          0          0          0          0
       -0.79860 7.93670e-01          0          0          0          0          0
       -0.79588 7.99220e-01          0          0          0          0          0
       -0.79317 8.04760e-01          0          0          0          0          0
       -0.79048 8.10290e-01          0          0          0          0          0
       -0.78781 8.15810e-01          0          0          0          0          0
       -0.78516 8.21310e-01          0          0          0          0          0
       -0.78252 8.26810e-01          0          0          0          0          0
       -0.77989 8.32300e-01          0          0          0          0          0
       -0.77728 8.37770e-01          0          0          0          0          0
       -0.77469 8.43240e-01          0          0          0          0          0
       -0.77211 8.48690e-01          0          0          0          0          0
       -0.76955 8.54130e-01          0          0          0          0          0
       -0.76700 8.59570e-01          0          0          0          0          0
       -0.76447 8.64990e-01          0          0          0          0          0
       -0.76195 8.70400e-01          0          0          0          0          0
       -0.75945 8.75800e-01          0          0          0          0          0
       -0.75696 8.81190e-01          0          0          0          0          0
       -0.75449 8.86580e-01          0          0          0          0          0
       -0.75203 8.91950e-01          0          0          0          0          0
       -0.74958 8.97310e-01          0          0          0          0          0
       -0.74715 9.02660e-01          0          0          0          0          0
       -0.74473 9.08000e-01          0          0          0          0          0
       -0.74232 9.13330e-01          0          0          0          0          0
       -0.73993 9.18650e-01          0          0          0          0          0
       -0.73755 9.23960e-01          0          0          0          0          0
       -0.73518 9.29260e-01          0          0          0          0          0
       -0.73283 9.34550e-01          0          0          0          0          0
       -0.73049 9.39830e-01          0          0          0          0          0
       -0.72816 9.45110e-01          0          0          0          0          0
       -0.72584 9.50370e-01          0          0          0          0          0
       -0.72354 9.55620e-01          0          0          0          0          0
       -0.72125 9.60870e-01          0          0          0          0          0
       -0.71897 9.66100e-01          0          0          0          0          0
       -0.71670 9.71330e-01          0          0          0          0          0
       -0.71444 9.76540e-01          0          0          0          0          0
       -0.71220 9.81750e-01          0          0          0          0          0
       -0.70997 9.86950e-01          0          0          0          0          0
       -0.70774 9.92140e-01          0          0          0          0          0
       -0.70553 9.97320e-01          0          0          0          0          0
       -0.70333 1.00250e+00          0          0          0          0          0
       -0.70115 1.00770e+00          0          0          0          0          0
       -0.69897 1.01280e+00          0          0          0          0          0
